Cracked Polished Blackstone Bricks;minecraft:cracked_polished_blackstone_bricks;#2c262c;(44, 38, 44)
Bubble Coral Block;minecraft:bubble_coral_block;#a51aa2;(165, 26, 162)
Purpur Pillar;minecraft:purpur_pillar;#ac80ab;(172, 128, 171)
Magenta Concrete Powder;minecraft:magenta_concrete_powder;#c154b9;(193, 84, 185)
Magenta Wool;minecraft:magenta_wool;#be45b4;(190, 69, 180)
Magenta Concrete;minecraft:magenta_concrete;#a9309f;(169, 48, 159)
Magenta Glazed Terracotta;minecraft:magenta_glazed_terracotta;#d064c0;(208, 100, 192)
Brain Coral Block;minecraft:brain_coral_block;#cf5b9f;(207, 91, 159)
Cherry Wood;minecraft:cherry_wood;#37212c;(55, 33, 44)
Netherite Block;minecraft:netherite_block;#433d40;(67, 61, 64)
Crimson Planks;minecraft:crimson_planks;#653147;(101, 49, 71)
Stripped Crimson Hyphae;minecraft:stripped_crimson_hyphae;#89395a;(137, 57, 90)
Stripped Crimson Stem;minecraft:stripped_crimson_stem;#7a3853;(122, 56, 83)
Cherry Leaves;minecraft:cherry_leaves;#e5adc2;(229, 173, 194)
Pink Concrete;minecraft:pink_concrete;#d6658f;(214, 101, 143)
Pink Concrete Powder;minecraft:pink_concrete_powder;#e599b5;(229, 153, 181)
Magenta Terracotta;minecraft:magenta_terracotta;#96586d;(150, 88, 109)
Pink Glazed Terracotta;minecraft:pink_glazed_terracotta;#eb9bb6;(235, 155, 182)
Purple Terracotta;minecraft:purple_terracotta;#764656;(118, 70, 86)
Pink Stained Glass;minecraft:pink_stained_glass;#f27fa5;(242, 127, 165)
Pink Wool;minecraft:pink_wool;#ee8dac;(238, 141, 172)
Crimson Stem;minecraft:crimson_stem;#713246;(113, 50, 70)
Cracked Nether Bricks;minecraft:cracked_nether_bricks;#281418;(40, 20, 24)
Nether Bricks;minecraft:nether_bricks;#2c161a;(44, 22, 26)
Chiseled Nether Bricks;minecraft:chiseled_nether_bricks;#2f181c;(47, 24, 28)
Mycelium;minecraft:mycelium;#6f6365;(111, 99, 101)
Fire Coral Block;minecraft:fire_coral_block;#a4232f;(164, 35, 47)
Deepslate Redstone Ore;minecraft:deepslate_redstone_ore;#69494b;(105, 73, 75)
Crimson Hyphae;minecraft:crimson_hyphae;#5d1a1e;(93, 26, 30)
Stripped Cherry Wood;minecraft:stripped_cherry_wood;#d79195;(215, 145, 149)
Black Glazed Terracotta;minecraft:black_glazed_terracotta;#441e20;(68, 30, 32)
Red Nether Bricks;minecraft:red_nether_bricks;#460709;(70, 7, 9)
Pink Terracotta;minecraft:pink_terracotta;#a24e4f;(162, 78, 79)
